,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
HCC-33,HCC-33,1303901,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,HCC-33,lung
KG-1-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KG-1-C,central_nervous_system
NCI-H2107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H2107,lung
NCI-H1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1404,lung
VMRC-RCW,VMRC-RCW,1240224,Y,Y,N,N,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,VMRC-RCW,kidney
PLC-PRF-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PLC-PRF-5,liver
Calu-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calu-1,lung
TMK-1,TMK-1,1299069,Y,Y,N,N,Y,digestive_system,stomach,STAD,,R,Adherent,TMK-1,stomach
WM793B,WM793B,1299081,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,WM793B,skin
Sarc9371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarc9371,bone
MKL-1-subclone-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MKL-1-subclone-2,skin
KP-N-YS,KP-N-YS,946363,Y,Y,N,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,KP-N-YS,autonomic_ganglia
KP-N-RT-BM-1,KP-N-RT-BM-1,924189,Y,Y,N,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Semi-Adherent,KP-N-RT-BM-1,autonomic_ganglia
TF-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TF-1,haematopoietic_and_lymphoid_tissue
Caov-3,Caov-3,906825,Y,Y,N,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,Caov-3,ovary
Sci-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sci-1,haematopoietic_and_lymphoid_tissue
VMRC-MELG,VMRC-MELG,930301,Y,Y,N,N,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,VMRC-MELG,skin
MY-M12,MY-M12,1330960,Y,Y,N,N,Y,leukemia,leukemia,ALL,MSS/MSI-L,R,Suspension,MY-M12,haematopoietic_and_lymphoid_tissue
NCI-H1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1522,lung
SCLC-21H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCLC-21H,lung
NCI-H1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1618,lung
NCI-H460,NCI-H460,905943,Y,Y,N,N,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H460,lung
MDA-MB-175-VII,MDA-MB-175-VII,908120,Y,Y,N,N,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-175-VII,breast
Tera-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tera-1,testis
K8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K8,skin
MKL-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MKL-2,skin
HT,HT,907063,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSI-H,R,Suspension,HT,haematopoietic_and_lymphoid_tissue
DMS-153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DMS-153,lung
NCI-H220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H220,lung
WM1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WM1158,skin
OMC-1,OMC-1,949154,Y,Y,N,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,OMC-1,cervix
NCI-H1184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1184,lung
NCI-H2171,NCI-H2171,688015,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H2171,lung
Toledo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Toledo,haematopoietic_and_lymphoid_tissue
PC-3_JPC-3,PC-3 [JPC-3],1240202,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,PC-3_JPC-3,lung
NB(TU)1-10,NB(TU)1-10,1240181,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,NB(TU)1-10,neuroblastoma
NTERA-2_cl.D1,NTERA-2 cl.D1,908454,Y,Y,Y,Y,Y,urogenital_system,testis,,MSS/MSI-L,D/F12,Adherent,NTERA-2_cl.D1,testis
WM239A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WM239A,skin
YMB-1-E,YMB-1-E,1303911,Y,Y,N,N,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,YMB-1-E,breast
UISO-MCC-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UISO-MCC-1,skin
OSA-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSA-80,bone
KMH-2,KMH-2,1298167,Y,Y,N,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent,KMH-2,thyroid
MCC13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCC13,skin
NK-92MI,NK-92MI,1330981,Y,Y,N,N,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,D/F12,Suspension,NK-92MI,lymphoma
NCI-H865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H865,lung
OUMS-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OUMS-23,large_intestine
NCI-H735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H735,lung
OVCA433,OVCA433,1480367,Y,Y,N,N,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OVCA433,ovary
NCI-H1385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1385,lung
COR-L23,COR-L23,687780,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,COR-L23,lung
PL4,PL4,1298533,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,PL4,pancreas
MC-IXC,MC-IXC,908118,Y,Y,N,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,MC-IXC,autonomic_ganglia
MHH-ES-1,MHH-ES-1,908134,Y,Y,N,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,MHH-ES-1,bone
NCI-H1437,NCI-H1437,687794,Y,Y,N,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1437,lung
RD-ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RD-ES,bone
EFE-184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EFE-184,endometrium
K19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K19,skin
NCI-H719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H719,lung
KYSE-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KYSE-30,oesophagus
CP67-MEL,CP67-MEL,949092,Y,Y,N,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,CP67-MEL,skin
K1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1,thyroid
SW403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW403,large_intestine
Set-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Set-2,haematopoietic_and_lymphoid_tissue
MB 157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MB 157,breast
TI-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TI-73,bone
OvCA 432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OvCA 432,ovary
JHU-013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JHU-013,upper_aerodigestive_tract
NCI-H508,NCI-H508,908442,Y,Y,N,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Semi-Adherent,NCI-H508,large_intestine
JHU-019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JHU-019,prostate
U-CH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U-CH1,bone
CRO-AP3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRO-AP3,haematopoietic_and_lymphoid_tissue
MC-1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC-1010,haematopoietic_and_lymphoid_tissue
LIM1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIM1215,colon
Takigawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Takigawa,stomach
Geo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geo,large_intestine
HUH-6-clone5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HUH-6-clone5,liver
NCI-H820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H820,lung
RERF-LC-FM,RERF-LC-FM,930081,Y,Y,N,Y,N,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,RERF-LC-FM,lung
U-CH2,U-CH2,1503373,Y,Y,N,N,N,bone,bone_other,,MSS/MSI-L,D/F12,Adherent,U-CH2,placenta
